,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Multiverse Theory,Cosmic Bubble Universes,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
57,Multiverse Theory,Higher-Dimensional Branes,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,NR,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
58,Multiverse Theory,Cyclical Universe,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,R,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
59,Scientific Materialism,Reductive Materialism,DB,DB,NR,DB,DB,NR,R,R,DB,DB,R,R,R,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,NR,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
60,Scientific Materialism,Emergent Materialism,DB,DB,NR,DB,DB,NR,R,R,DB,DB,R,R,R,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,NR,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
61,Scientific Materialism,Pragmatic Instrumentalism,DB,DB,NR,DB,DB,NR,R,R,DB,DB,R,NR,R,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,NR,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
62,Scientific Materialism,Poetic Naturalism,DB,DB,NR,DB,DB,NR,R,R,DB,DB,R,NR,R,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,NR,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
63,Flat Earth Conspiracy,Biblical Flat Earth,R,R,R,R,R,NR,DB,DB,R,NR,DB,DB,DB,DB,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,DB,DB,DB,R,R,R,R,NR,DB,DB,DB,DB,DB,DB,NR,NR,NR,R,NR,DB,DB,DB,DB,DB,DB,R,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,,,,
64,Flat Earth Conspiracy,Conspiratorial Flat Earth,NR,NR,NR,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,DB,DB,R,R,NR,R,R,DB,DB,DB,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,R,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
65,Flat Earth Conspiracy,Experiential Flat Earth,NR,NR,NR,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,DB,DB,R,R,NR,R,NR,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
66,Ancient Astronaut Theory,Intervention Origins,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,DB,DB,DB,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
67,Ancient Astronaut Theory,Technological Guidance,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,NR,DB,DB,DB,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
68,Ancient Astronaut Theory,Religious Foundations,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,DB,DB,DB,DB,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
69,Ancient Astronaut Theory,Ongoing Presence,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,DB,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
70,Indigenous Relational Worldview,Place-Based Knowledge,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
71,Indigenous Relational Worldview,Kinship Cosmology,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
72,Indigenous Relational Worldview,Ceremonial Reality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
73,Indigenous Relational Worldview,Ancestral Continuity,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,
74,Unconventional Skeptic,Hidden History Researcher,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
75,Unconventional Skeptic,Alternative Physics Explorer,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
76,Unconventional Skeptic,Conspiracy Analyst,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
77,Unconventional Skeptic,Open Skeptic,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
78,Information-Theoretic Cosmology,It from Bit,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,R,NR,NR,R,R
79,Information-Theoretic Cosmology,Computational Universe,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,R,NR,NR,R,R
80,Information-Theoretic Cosmology,Entropic Gravity,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR
81,Information-Theoretic Cosmology,Observer-Dependent Reality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,R,R
82,Islamic Philosophical Cosmology,Continuous Creation,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,DB,NR,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
83,Islamic Philosophical Cosmology,Dependent Existence,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
84,Islamic Philosophical Cosmology,Divine Qualities in Creation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
85,Islamic Philosophical Cosmology,Layered Reality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,NR,R,NR,NR
86,Traditional Daoist Cosmology,Natural Process & Spontaneity,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,DB,DB,NR,NR,NR,R
87,Traditional Daoist Cosmology,Pattern Correspondence & Complementarity,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,DB,DB,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,DB,DB,NR,NR,NR,R
88,Traditional Daoist Cosmology,Integral Cultivation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,DB,DB,NR,NR,NR,R
89,Jain Cosmology,Many-Sided Reality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,DB,DB,NR,NR,NR,NR
90,Jain Cosmology,Eternal Universe,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
91,Jain Cosmology,Multiple Realms,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
92,Jain Cosmology,Universal Life,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,DB,DB,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
93,Traditional African Cosmologies,Community-Ancestral Connection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,R,NR,R,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
94,Traditional African Cosmologies,Cyclical-Sacred Time,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
95,Traditional African Cosmologies,Divination-Based Causality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,R,R,NR,DB,DB,DB,DB,DB,NR,R,R,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
96,Traditional African Cosmologies,Vitality-Force Cosmology,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,R,R,NR,DB,DB,DB,DB,DB,NR,R,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR
97,Non-Dual Traditions,Unity of Self and Cosmos,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,NR,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,R,R,NR
98,Non-Dual Traditions,Sacred Manifestation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,NR,DB,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,R,R,NR
99,Non-Dual Traditions,Natural Harmony,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,NR,NR,R,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,NR,NR
100,Consciousness-First,Buddhist Mind-Only,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,R,R
101,Consciousness-First,Luminous Awareness,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,R,NR
102,Consciousness-First,Universal Mind,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,R,NR
103,Consciousness-First,Mind-Shaped Reality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,R
104,Theistic Evolution,Divine Natural Processes,DB,DB,DB,DB,DB,DB,R,R,R,NR,DB,NR,NR,DB,R,R,DB,NR,NR,NR,DB,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,DB,NR,NR
105,Theistic Evolution,Guided Development,DB,DB,DB,DB,DB,DB,R,R,R,NR,DB,NR,NR,DB,R,R,DB,NR,NR,NR,DB,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,DB,NR,NR
106,Theistic Evolution,Purposeful Direction,DB,DB,DB,DB,DB,DB,R,R,R,R,DB,NR,NR,DB,R,R,DB,NR,NR,NR,DB,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,R,R,R,R,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,DB,DB,DB,DB,DB,DB,NR,NR,DB,DB,DB,DB,DB,NR,NR
107,New Age Spiritualism,Consciousness-Focused,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,NR,NR,NR,NR,NR
108,New Age Spiritualism,Energy-Based,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR
109,New Age Spiritualism,Evolutionary Consciousness,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR
110,New Age Spiritualism,Eclectic Synthesis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR
