Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Cedar Elm,Ulmus crassifolia,Ulmaceae,No,No,Rarely,Drought-tolerant elm native to the southern U.S.,"Small, rough leaves and corky twigs.",Tiny leaves feel like sandpaper!,"Thick leaves, small winged seeds, and late summer flowering.",American Elm (*Ulmus americana*),Smaller leaves and thicker twigs,Flowers in spring; seeds ripen in late spring,Flowers in late summer; leaves yellow in fall.,Deciduous,Simple,Alternate,Oval to oblong,1–3 inches,"Leathery, serrated, glossy",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Inconspicuous greenish flowers,Flat samaras,Small samaras < 0.5 inch,Clusters on twigs,Wind,Neutral,"Smoothish, light brown","Rough, corky ridges",Thick twigs and corky ridges,Upright,"Rounded, spreading",Zigzag with thick twigs,30–70 feet,Moderate,Dry woodlands and streambanks,South-central U.S.,Low elevations,"Hot, dry summers",Non-toxic
Chalk Maple,Acer leucoderme,Sapindaceae,No,No,Rarely,"Small, drought-tolerant maple native to the southeastern U.S.","Pale bark and small, tri-lobed leaves.",Its bark looks like someone chalked all over it!,Smooth light bark and small maple leaves with 3 rounded lobes.,Florida Maple (*Acer floridanum*),Smaller leaves and chalky white bark,Flowers in early spring; samaras by late spring,Bright orange to red fall foliage.,Deciduous,Simple,Opposite,"3-lobed, rounded",2–3 inches,"Small, soft, chalky beneath",Yellow to orange,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Greenish-yellow clusters,Small winged samaras,Double samaras ~1 inch,Hanging in pairs,Wind,Neutral to sweet,"Smooth, chalky white-gray","Scaly, light-colored",Chalky white bark and short buds,Rounded,Small spreading canopy,Opposite,15–25 feet,Slow to moderate,Dry woodlands and rocky slopes,Southeastern U.S.,Low to mid elevations,"Warm, dry to moderately moist",Non-toxic
Chinese Elm,Ulmus parvifolia,Ulmaceae,Yes,No,Yes,Widely used as a street tree; resistant to Dutch elm disease.,Mottled bark and small leathery leaves.,Its bark looks like a puzzle!,"Serrated, glossy leaves and exfoliating bark in patches.",Siberian Elm (*Ulmus pumila*),Orange-brown bark and smaller leaves,Flowers in spring; seeds mature by early summer,Yellow fall color; tiny winged seeds drop in fall.,Deciduous,Simple,Alternate,Oval with serrated edge,1–2.5 inches,"Small, toothed, glossy green",Orange to red,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Small green flowers,Round samaras with notched tip,Small round samaras ~0.5 inch,In clusters,Wind,Faintly musky,Smooth with flakes,Exfoliating in orange-gray patches,Orange flaky bark and zigzag twigs,Upright,"Arching, vase-shaped crown",Alternate with zigzag twigs,40–60 feet,Fast,Urban and garden plantings,Native to East Asia; cultivated worldwide,Low elevations,"Tolerates heat, drought, and pollution",Non-toxic
Chinese-fir,Cunninghamia lanceolata,Cupressaceae,Yes,No,Yes,Used for timber and temple building in China.,"Soft, bright green needle-like leaves spiraling around branch.",A Christmas tree with bright green fuzz!,"Soft, pointed leaves and peeling reddish bark.",Cryptomeria (*Cryptomeria japonica*),Needles arranged spirally and sharply pointed,Pollen in spring; cones mature in fall,New bright green growth in spring; cones develop in summer.,Evergreen,Simple,Spiral,Needle-like,1–2 inches,"Sharp, bluish-green, spreading outward",None,Spiral around stem,1–2 inches,"Flat, soft, pointed tip",Small pollen cones at branch tips,Small oval cones with pointed scales,1–2 inch round cones,Near branch ends,Wind,Resinous,Reddish and flaky,"Peeling, reddish-brown",Needles splayed outward in spirals,Conical,Pyramidal with spreading branches,Horizontal and tiered,50–100 feet,Moderate to fast,Cultivated landscapes,Native to China; ornamental in U.S.,Low to mid elevations,"Warm, humid to temperate",Non-toxic
Clammy Locust,Robinia viscosa,Fabaceae,No,No,Rarely,Grown ornamentally for pink flowers; native to Appalachian region.,Sticky stems and bright pink flowers in clusters.,It feels sticky like a tree with glue!,"Glandular-hairy stems, pink flowers, and flat seed pods.",Black Locust (*Robinia pseudoacacia*),Sticky stems and pink flowers distinguish it,Flowers in spring; pods ripen in summer,Pink flowers in spring; seed pods form in summer.,Deciduous,Compound,Alternate,Pinnate with oval leaflets,6–12 inches,"Sticky stems, small smooth leaflets",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Showy pink flowers in clusters,Short brown seed pods,Flat seed pods 2–4 inches,Hanging in clusters,Gravity,Sweet floral scent,Greenish and sticky,"Thin, furrowed",Sticky twigs and reddish bark,Shrubby and open,Rounded small tree,Irregular,10–30 feet,Moderate,Ornamental and roadsides,Appalachians and Southeastern U.S.,Low to mid elevations,Temperate with rainfall,Toxic to livestock
Coast Live Oak,Quercus agrifolia,Beech,Yes,Yes,Likely,Historically important for indigenous peoples (acorns for food); key species in coastal oak woodlands,"Dark evergreen leaves with spiny margins, twisting trunks","Spiky, stiff leaves that stay green year-round, and big twisting branches","Thick bark, spiny oval leaves (undersides fuzzy), trunk often gnarled",Interior Live Oak (less spiny leaves),Interior Live Oak is evergreen with smaller leaves. Black Oak is deciduous with large lobed leaves that turn bright gold/orange in fall.,Flowers (catkins) in spring; acorns mature in fall,"Evergreen, older leaves may drop gradually",Evergreen,Simple,Alternate,Oval to elliptical with spiny edges,1–2 inches,"Thick, leathery, underside pale or fuzzy",N/A (evergreen),N/A,N/A,N/A,Small hanging catkins (yellowish-green) in spring,"Elongated acorns (1–1.5 inches), caps cover about one-third",N/A,N/A,"Birds and mammals (esp. jays, squirrels)",Slight musty odor when leaves are crushed,"Smooth, grayish","Dark gray-brown, thick, furrowed","Retains green leaves, trunk architecture stands out","Shrubby, eventually forming a short trunk","Broad, spreading canopy with twisting branches","Irregular, horizontally spreading",25–80 feet,Moderate,"Coastal foothills, oak woodlands, chaparral edges",Central & Southern California coasts,"Typically below ~1,500 feet","Mediterranean, mild coastal climate",Acorns have bitter tannins; raw consumption can upset the stomach. Not highly toxic but must be leached before eating.
Colorado White Fir,Abies concolor,Pine,Yes,Yes,Unlikely,Ornamental landscaping tree; popular Christmas tree; also known as White Fir.,"Long, bluish-green needles curving upward, pale underside.",A 'white fir' with bluish needles that curve up like a smile.,"Longer needles than many firs, often 2–3 inches, forming a U-shape around twig.","Sierra White Fir (A. lowiana), which is sometimes treated as the same species, but Colorado White Fir is common in cultivation.","Torrey Pine also has large seeds but has 5 needles per bundle. Gray Pine has 3 long, drooping needles and huge, heavy cones.",New growth spring; cones mature late summer/fall.,Evergreen; needles maintain color year-round.,Evergreen needles.,N/A,"Spiral, but needles typically curve upward in a U-shape.","Linear needles, 2–3 inches long.",2–3 inches.,"Bluish to gray-green, soft, with two whitish bands on underside.",Evergreen.,"Upswept, forming U-shape around twig.",2–3 inches.,"Soft, flexible, pale underside.","Male cones small, yellowish; female cones upright at branch tips.","Oblong cones (3–5 inches), disintegrate on tree.","3–5 inches, upright, cylindrical.","Upper branches, upright.",Wind.,"Mild, resinous, sometimes lemony note.","Smooth, gray-green, resin blisters.","Darkens, becoming furrowed.","Evergreen, upright cone remnants, bluish needles.",Narrowly conical.,"Taller, broad conical form.","Branches in whorls, slightly drooping tips.",60–130 feet in cultivation/forest.,Moderate.,"Montane forests, well-drained soils.",Native to Rocky Mountains; widely planted in CA.,"~3,000–9,000 feet (native range).","Cool winters, moderate moisture.",Not highly toxic; seeds are edible once roasted. Giant cones may pose a falling hazard.
Colorado White Fir,Abies concolor var. lowiana,Pinaceae,Yes,Yes,Yes,High elevation fir often planted ornamentally.,"Blue-green, upward curving needles with citrus scent.",Smells like lemon if you crush the needles!,Curved needles in flat sprays; upright cones.,Sierra White Fir (*Abies concolor subsp. lowiana*),Broader crown and bluer needles,Pollen in spring; cones mature in fall,Cones ripen in fall; new growth in spring.,Evergreen,Simple,Spiral,Needle-like,1–2 inches,Curved bluish needles in flat sprays,None,Two-ranked,1.5–2.5 inches,"Curved upward, soft, blue-green",Small upright cones,Barrel-shaped cones,"3–6 inches, upright, cylindrical",Upper branches,Wind,Citrusy resin smell,Smooth and gray,"Rough, furrowed, grayish",Bluish flat sprays and upright cones,Pyramidal,"Tall, narrow crown",Whorled,80–150 feet,Moderate,Mountain forests,"Western U.S., Sierra Nevada and Transverse ranges","5,000–9,000 feet","Cold winters, moist summers",Non-toxic
Common Douglas-fir,Pseudotsuga menziesii,Pine,Yes,Yes,Unlikely,Major timber species throughout the west; popular Christmas tree; vital habitat for many wildlife.,"Three-pronged 'mouse tail' bracts on cones, soft single needles with pointed buds at branch tips.",Check the cones for little 'mouse tails' sticking out between scales—that means it’s a Douglas-fir!,"Long pointed winter buds, pendulous cones with protruding bracts, needles arranged spirally but appear somewhat 2-ranked.",True firs (Abies) have upright cones; Douglas-fir cones hang down with bracts.,Ornamental yews are very similar. Pacific Yew is native to moist CA forests with purple-brown bark and soft needles.,Evergreen; pollination spring; cones mature late summer/fall; seeds drop in autumn.,"Minimal color change, new bright green tips in spring, older needles may drop in fall.",Evergreen needles,N/A,"Sprial, often parted horizontally",Linear needles ~1 inch,1–1.5 inches,"Soft, slightly flattened, pointed tip but not sharp",Evergreen,"Spirally on twig, somewhat parted in 2 ranks",1–1.5 inches,"Flexible, sweet fragrance when crushed","Male cones small, red to yellowish; female cones upright turning pendulous",2–4 inch cones with trifid bracts sticking out,"2–4 inches, elongated, bracts like 'mouse tails'",Hanging from branches,Wind,Citrus or sweet resin smell if needles are crushed,"Smooth, grayish, with resin blisters sometimes","Thick, deeply furrowed, dark brown, corky","Evergreen needles, cones with bracts, pointed winter buds","Pyramidal, strong central leader","Tall, conical crown, drooping branches","Whorled, horizontal or slightly drooping",70–300+ feet (in wild old-growth),Fast,"Moist conifer forests, mountain slopes","Widespread in northern CA, Sierra, Coast Ranges","~0–8,000 feet (varies by region)","Cool, moist winters, mild summers, well-drained soils","Highly toxic seeds and foliage; the red aril is less harmful, but still not recommended to eat."
Common Douglas-fir,Pseudotsuga menziesii,Pinaceae,Yes,Yes,Yes,Major timber tree of the western U.S.; iconic Pacific Northwest species.,Three-pointed bracts sticking out of cones.,Its cones have mouse tails sticking out!,"Flat needles, pointed buds, and distinctive bracted cones.",Rocky Mountain Douglas-fir (*Pseudotsuga menziesii var. glauca*),Longer cones and coastal form,Pollen in spring; cones mature by fall,New shoots in spring; cones mature over summer.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,Flat needles with pointed tips,None,Spirally arranged,0.75–1.25 inches,"Flat, soft, green to blue-green",Small reddish pollen cones,Cylindrical cones 3–4 inches,"2–4 inches, oval with bracts",Hanging from branches,Wind,Mildly piney,Smooth and gray,"Thick and furrowed, reddish-brown",Sharp buds and hanging cones,Pyramidal,Tall with open crown,Horizontal or upswept,100–250 feet,Fast,Forests and slopes,Western North America,"Sea level to 8,000 feet","Moist, temperate",Non-toxic
Dawn Redwood,Metasequoia glyptostroboides,Cypress,Yes (cultivated ornamentally),No,Likely,"Living fossil from China, widely planted in parks","A deciduous conifer with feathery, opposite needles turning orange-brown in fall",A conifer that loses its needles in autumn!,"Opposite leaf arrangement, flared trunk base, orange fall color","Bald Cypress (Taxodium distichum), but dawn redwood has opposite needles",Mediterranean Bay Laurel is commonly used in cooking; California Laurel has a more intense peppery smell and is native to CA.,"Needles emerge in spring, turn orange-brown and drop in fall; cones in late summer","Bright green new foliage in spring, striking orange-brown in fall, bare in winter",Deciduous conifer needles,N/A,Opposite along branchlets,"Linear, flattened needles",0.5–1 inch,"Soft, feathery, bright green in spring",Orange to reddish-brown,Opposite on small side branches,0.5–1 inch,Soft and feathery,"Monoecious; small male cones in clusters, female cones solitary","Rounded cones, ~1 inch, with woody scales","~1 inch, roughly spherical",Hang from branchlets on short stalks,Wind,"Mild, slightly earthy","Reddish-brown, fairly smooth","Shallowly fissured, peeling in strips","Bare branches with opposite buds, leftover cones","Pyramidal, symmetrical","Broadly conical, trunk buttressing",Horizontal branches in tiers,60–100+ feet,Fast,"Cultivated in parks, arboretums; prefers moist soils, full sun",Native to China; widely planted in California landscapes,Typically low elevations in cultivation,"Ample moisture, tolerates range of climates",Leaves are pungent and can cause headaches or nausea in large amounts; seeds have some toxicity if eaten raw.
Deodar Cedar,Cedrus deodara,Pinaceae,Yes,No,Yes,Sacred tree in Hindu culture; widely used ornamentally.,Graceful drooping tips and long soft needles.,Its tips look like they’re bowing politely!,Soft bluish needles and barrel cones; weeping branch tips.,Atlas Cedar (*Cedrus atlantica*),Drooping tips and softer needles,Pollen in spring; cones mature over two years,New growth in spring; cones develop through summer.,Evergreen,Simple,Spiral,Needle-like,1–2 inches,"Soft green needles, drooping tips",None,Clusters on short shoots,1–2 inches,"Soft, bluish-green, flexible",Small yellow pollen cones,Upright barrel-shaped cones,"3–5 inches, barrel-shaped",Upright on upper branches,Wind,Woody and fragrant,Smooth and gray,Fissured and dark brown,Drooping branches and upright cones,Pyramidal with drooping tips,Broad with weeping form,"Tiered, horizontal with droop",60–100 feet,Fast,Cultivated parks and landscapes,Native to Himalayas; planted widely,Low to mid elevations,"Mild winters, warm summers",Non-toxic
Downy Birch,Betula pubescens,Betulaceae,No,No,Rarely,Used for timber and ornamental planting in northern climates.,White bark and fuzzy twigs.,Its twigs feel like velvet!,Oval leaves with double serrations and downy young twigs.,Silver Birch (*Betula pendula*),"Hairier leaves and twigs, less drooping branches",Catkins in spring; seeds ripen in summer,Yellow fall color; catkins in spring.,Deciduous,Simple,Alternate,Oval with fine teeth,1–2.5 inches,"Soft, hairy, pale beneath",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Slender catkins,Tiny winged nutlets,Tiny catkin fruits <1 inch,Drooping catkins,Wind,Neutral,"Reddish-brown, becomes white","White, peeling slightly",Smooth bark and hairy buds,Narrow and upright,"Rounded, open crown",Alternate,30–60 feet,Moderate,"Moist soils, bog edges",Northern Europe and Asia,Low to mid elevations,"Cool, moist",Non-toxic
Dutch Elm,Ulmus × hollandica,Ulmaceae,Yes,No,Yes,Hybrid elm known for ornamental shape; susceptible to disease.,Arching limbs and rough-textured leaves.,It’s a curly tree with crinkly leaves!,Hybrid traits; large leaves and upright vase shape.,English Elm (*Ulmus procera*),Hybrid features — mixes traits of English and Wych Elm,Flowers in spring; seeds mature by early summer,Yellow fall color; flowers and samaras in spring.,Deciduous,Simple,Alternate,Oval with serrated edge,2–4 inches,"Rough above, often asymmetrical",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Greenish clusters,Flat samaras,Small samaras ~0.5 inch,Drooping clusters,Wind,Neutral,"Smoothish, gray-brown",Rough and deeply furrowed,"Twisting branches, hybrid variability",Upright,Broad and vase-shaped,Alternate with arching limbs,50–80 feet,Moderate to fast,Urban and cultivated sites,Hybrid of European species; cultivated globally,Low elevations,"Temperate, adaptable",Non-toxic
Eastern Redcedar,Juniperus virginiana,Cupressaceae,Yes,No,Yes,Cedar wood used for pencils and chests; also provides wildlife habitat.,Dense evergreen with scale-like leaves and blue berries.,Smells like pencils and has little berry balls!,"Dark green scale leaves; blue, berry-like cones.",Redcedar (*Juniperus scopulorum*),More columnar form and bluer foliage,Pollen in spring; cones ripen fall of first year,Berries ripen in fall; pollen released late winter.,Evergreen,Scale-like,Opposite,Scale-like,< 0.25 inch,Blue-green scales tightly appressed,None,"Opposite, scale-like",< 0.25 inch,"Dark green, overlapping scales",Tiny yellow cones,Bluish berry-like cones,Small round blue cones (berry-like),At twig tips,Birds and animals,Spicy cedar scent,Thin and reddish-brown,Shredding in thin strips,Columnar form and scaly foliage,Conical,"Irregular, dense crown","Dense, ascending",20–50 feet,Slow to moderate,"Fields, edges, and rocky slopes",Eastern and central U.S.; cultivated widely,"Sea level to 5,000 feet",Tolerant of drought and poor soil,Mildly toxic to pets
Engelmann Oak,Quercus engelmannii,Fagaceae,Yes,Yes,Yes,Rare native oak of Southern California; supports local wildlife.,Wavy-edged bluish-green leaves.,Its leaves look like little clouds!,"Thick, leathery leaves; rounded lobes; light bark.",Coast Live Oak (*Quercus agrifolia*),"Smaller leaves, blue-green tint, and leathery feel",Catkins in spring; acorns mature in fall,May drop leaves in drought; new leaves in spring.,Evergreen,Simple,Alternate,Oblong to oval,1–2 inches,"Thick, leathery, bluish-green",No change,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Tiny yellow-green catkins,Stubby acorns,Acorns ~1 inch,At twig tips,Gravity and animals,Neutral,"Smooth, gray","Light gray, shallowly fissured",Blue-green leaves and stubby acorns,Spreading and rounded,"Broad, low canopy","Spreading, irregular",20–70 feet,Slow to moderate,Foothills and valleys,Southern California,"1,200–4,500 feet","Warm, dry summers; mild winters",Acorns mildly toxic to pets
Engelmann Spruce,Picea engelmannii,Pinaceae,Yes,Yes,Rarely,High-elevation spruce used for musical instruments and construction.,"Thin, scaly bark and blue-green needles.",It’s a skinny Christmas tree with a fuzzy touch!,Short needles on pegs; papery cones.,White Spruce (*Picea glauca*),Softer needles and smaller cones,Pollen in spring; cones mature in fall,New growth in late spring; cones mature late summer.,Evergreen,Simple,Spiral,Needle-like,0.5–1 inch,"Soft, blue-green, 4-sided",None,Spirally arranged,0.5–1 inch,"Sharp-tipped, blue-green, four-sided",Small reddish cones,Small round cones <2 inches,"1.5–2.5 inches, narrow",Hanging from upper branches,Wind,Mildly resinous,Thin and smooth,"Thin, flaky, scaly grayish-brown",Short needles and small cones,Narrow pyramid,Tall and spire-like,Whorled and horizontal,80–130 feet,Slow to moderate,High mountain forests,"Rockies, Cascades, and Sierra Nevada","6,000–11,000 feet","Cold, snowy winters; cool summers",Non-toxic
European Alder,Alnus glutinosa,Betulaceae,Yes,No,Yes,Planted for erosion control; fixes nitrogen in poor soils.,Rounded leaves and small woody cones.,The little pinecone tree with round leaves!,Glossy green leaves; persistent woody cones.,Black Alder (*Alnus incana*),Sticky young leaves and smoother bark,Catkins in spring; cone-like fruits ripen in summer,Leaves emerge early; catkins and cones mature by fall.,Deciduous,Simple,Alternate,Rounded with wavy edge,2–4 inches,"Glossy, sticky when young, doubly serrated",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Male and female catkins,Woody cone-like catkins,"0.5 inch, cone-like",At twig tips,Wind and water,Mild earthy scent,Smooth and dark gray,Cracked and ridged,Dark bark with small cones,Pyramidal,Rounded crown,Alternate,40–70 feet,Fast,"Wetlands, streamsides",Europe; planted in U.S.,Low elevations,Cool and moist,Non-toxic
European Aspen,Populus tremula,Salicaceae,No,No,Rarely,Known for trembling leaves and fast growth in Europe.,"Roundish, finely toothed leaves that flutter in the wind.",Its leaves wiggle like they’re ticklish!,Flat leaf stems and smooth bark with dark diamond markings.,Quaking Aspen (*Populus tremuloides*),Rounded leaf base and stiffer petiole,Catkins in spring; seeds ripen in summer,Yellow fall foliage; catkins in early spring.,Deciduous,Simple,Alternate,Rounded with fine teeth,1.5–3 inches,"Pale beneath, flexible, flat petiole",Yellow to orange,N/A,N/A,N/A,Slender catkins,Tiny cottony seeds,N/A,N/A,Wind,Neutral,"Smooth, green-gray",Whitish-gray with dark ridges,White bark and flat buds,Upright and narrow,"Rounded, open crown",Alternate,40–80 feet,Fast,Open woods and roadsides,Europe and temperate Asia,Low to mid elevations,"Cool, moist climates",Non-toxic
European Beech,Fagus sylvatica,Fagaceae,Yes,No,Yes,Classic shade and ornamental tree in Europe.,"Smooth gray bark and dark green, wavy-edged leaves.",Its trunk is smooth like an elephant!,"Pointy buds, oval leaves with silky edges, and smooth bark.",American Beech (*Fagus grandifolia*),Smoother bark and rounder leaf shape,Flowers in spring; nuts ripen in fall,Yellow to bronze fall color; nut production in fall.,Deciduous,Simple,Alternate,Oval with wavy margin,2–4 inches,"Smooth, dark green, slightly leathery",Bronze to golden,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant","Small, wind-pollinated flowers",Triangular nuts in spiny husks,Beech nuts in spiny husks,Paired in small clusters,Gravity and animals,Neutral to slightly sweet,Smooth and silver-gray,"Remains smooth, slightly darker",Smooth gray bark and pointy buds,Oval and dense,Broad and spreading,"Alternate, low branching",50–100 feet,Slow to moderate,Moist woodlands and gardens,Europe; planted in temperate regions,Low to mid elevations,Cool and moist,Non-toxic
European Silver Fir,Abies alba,Pinaceae,Yes,No,Yes,Classic European fir; often used as a Christmas tree.,Flat needles with shiny tops and two white stripes below.,Its needles have racing stripes underneath!,"Symmetrical shape, shiny needles, upright cones.",Nordmann Fir (*Abies nordmanniana*),Less prominent resin blisters and flatter needles,Pollen in spring; cones mature in fall,New growth in spring; cones mature over summer.,Evergreen,Simple,Spiral,Needle-like,0.5–1.25 inches,"Flat, shiny, dark green needles",None,"Flat sprays, two-ranked",0.75–1.25 inches,"Dark green above, white lines beneath",Small upright pollen cones,Cylindrical cones with thin scales,"4–6 inches, upright",Upper branches,Wind,Mildly resinous,"Smooth, gray","Cracked, gray-brown",Flat needles with two white bands beneath,Symmetrical pyramid,Tall spire-like crown,Horizontal and whorled,80–150 feet,Moderate,Mountain forests,Central and Southern Europe,"2,000–6,000 feet","Cool, moist mountain conditions",Non-toxic
Fraser Fir,Abies fraseri,Pinaceae,No,No,Rarely,Famous for Christmas trees; native to Appalachian Mountains.,Short dark green needles with silvery undersides.,It smells like Christmas and has silver stripes!,Needles with two white lines below; upright cones.,Balsam Fir (*Abies balsamea*),Shorter cones with upright bracts,Pollen in spring; cones mature in fall,New shoots in spring; cones mature in summer.,Evergreen,Simple,Spiral,Needle-like,0.5–1 inch,"Soft needles, white lines beneath",None,Two-ranked,0.5–1 inch,"Flat, soft, dark green above, white below",Small purple male cones,Small cones with upright bracts,"2–3 inches, upright, cylindrical",Upper branches,Wind,Mild pine scent,Smooth and gray,"Scaly, dark brown",Upright cones and soft flat needles,Narrow and dense,Tall and symmetrical,"Whorled, horizontal",30–70 feet,Moderate,High-elevation spruce-fir forests,Southern Appalachian Mountains,"4,000–6,600 feet","Cool, moist mountain climates",Non-toxic
Fullmoon Maple,Acer japonicum,Sapindaceae,Yes,No,Yes,Popular ornamental tree from Japan with brilliant fall color.,"Leaves with 7–11 rounded lobes, like a green starburst.",Its leaves look like little green suns!,"Broad, rounded leaves with deep lobes and red fall color.",Japanese Maple (*Acer palmatum*),More rounded lobes and softer texture,Flowers in spring; samaras mature in fall,"Green summer leaves turn red, orange, or purple in fall.",Deciduous,Simple,Opposite,"Rounded, deeply lobed",3–5 inches,"Soft, rounded lobes, fuzzy beneath",Red to orange,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Tiny reddish flowers in clusters,Paired winged samaras,Double-winged samaras,Hanging pairs,Wind,Neutral to sweet,Smooth and greenish-gray,Smooth with shallow ridges,"Smooth gray bark, opposite buds",Rounded and upright,Rounded small tree,Opposite,15–30 feet,Slow to moderate,Cultivated gardens and parks,"Japan, Korea; cultivated in U.S.",Low elevations,"Cool, moist, protected sites",Non-toxic
Giant Sequoia,Sequoiadendron giganteum,Cypress,Yes,Yes,Unlikely,Largest trees by volume; sacred to native tribes; tourist attractions (national parks),"Massive trunk girth, fibrous red-brown bark, egg-shaped cones",These are the huge trees you can sometimes drive a car through!,"Awl-like scale leaves, extremely thick bark, only in Sierra Nevada groves","Coast Redwood (Sequoia sempervirens), but giant sequoia is bigger by volume with chunkier cones","Eastern Redbud has slightly larger leaves and is native to the East. California Redbud is smaller, with intense pink blossoms.","Cones may remain on tree for years, often opened by fire or dryness","Evergreen, minimal color changes","Evergreen, scale/awl-like",N/A,Spirally arranged scales pressed against twig,Awl-shaped (~1/4 inch),~1/4 inch,"Rigid tips, somewhat prickly",Evergreen,Scale/awl-like,~1/4 inch,"Thick, leathery, overlapping",Small male pollen cones; female cones up to ~3 inches,"Egg-shaped woody cones, 1.5–3 inches","1.5–3 inches, oval/egg-shaped",Often hanging singly or in clusters,"Wind, often triggered by fire/heat","Earthy, resinous","Reddish-brown, thickens with age","Extremely thick (up to 2+ ft), fibrous, fire-resistant","Evergreen, massive trunk, cones visible","Conical, symmetrical","Towering trunk, broad crown high up","Whorled, can droop with age",200–300+ feet (largest by volume),Moderate,"Montane forests, well-drained slopes",Western slopes of Sierra Nevada,"~4,000–8,000 feet","Cool, snowy winters, dry summers with moisture from snowmelt",Seeds/pods are edible if cooked. Raw seeds may cause slight stomach upset.
Ginkgo,Ginkgo biloba,Ginkgoaceae,Yes,No,Yes,Ancient living fossil dating back 270 million years; revered in Asian cultures; used in traditional medicine; survived Hiroshima atomic bombing,Distinctive fan-shaped leaves with parallel veins and notched tips,Leaves look like tiny green fans or duck feet,Fan-shaped leaves unlike any other tree; bright yellow fall color; foul-smelling fruits on female trees,None - Ginkgo is the only surviving member of its family,Not applicable - no other tree has similar fan-shaped leaves,Leaves emerge in spring; male trees produce pollen; female trees develop fruits in summer; fruits ripen and drop in fall,"Spring: Bright green fan-shaped leaves emerge; Fall: Spectacular golden yellow foliage; Winter: Deciduous, bare branches",Deciduous,Simple,"Alternate, often clustered on short spurs",Fan-shaped with parallel veins and usually notched tip,2-4 inches wide,Leathery texture; parallel veins radiating from base; often has a notch or cleft at tip,Brilliant golden yellow,N/A,N/A,N/A,Inconspicuous; male trees produce small pollen cones; female trees produce ovules on stalks,"Female trees produce fleshy, apricot-like fruits with large seeds inside; strong unpleasant odor when ripe",N/A,N/A,Fleshy fruits drop to ground; historically dispersed by now-extinct animals,"Fallen fruits from female trees have strong, foul odor similar to rancid butter or vomit","Smooth, light brown to grayish","Deeply furrowed, corky, gray-brown with distinctive ridges",Distinctive short spur branches; duck-foot shaped leaf scars; grayish-tan buds,"Narrow, pyramidal or columnar","Broad, spreading crown, often irregular in older specimens",Main branches ascending; distinctive short spur branches,50-80 feet (can reach 100+ feet in ideal conditions),Slow to moderate (faster once established),"Urban streets, parks, gardens; adaptable to many conditions",Planted throughout California in urban areas,"Sea level to 4,500 feet","Adaptable to wide climate range; tolerates pollution, heat, drought once established",Seeds edible when prepared properly; seed coat and pulp contain urushiol (same irritant as in poison ivy); female fruits can cause skin irritation
Grand Fir,Abies grandis,Pinaceae,Yes,Yes,Yes,Fragrant fir valued for Christmas trees and timber.,"Flat, dark green needles in two rows on either side of twig.",Its needles lay flat like eyebrows!,Glossy green needles with white lines underneath; citrus scent.,Pacific Silver Fir (*Abies amabilis*),Glossy needles and upright cones,Pollen in spring; cones mature by fall,New growth in spring; cones mature by fall.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Glossy, flat, fragrant",None,"Two-ranked, flat sprays",1–2 inches,"Flat, dark green, white-striped below",Small yellow cones,Cylindrical upright cones,"2–5 inches, upright and cylindrical",Upper branches,Wind,Fragrant citrusy resin,Smooth with resin blisters,Gray and ridged,Shiny needles and upright cones,Narrow pyramid,Tall with dense crown,Horizontal and layered,100–250 feet,Moderate to fast,Moist lowland to montane forests,Pacific Northwest and Northern California,"Sea level to 6,000 feet","Cool, moist",Non-toxic
